estrategia,K,H,W_melhor,execucoes_no_otimo_%,execucoes_convergidas,Silhueta,ARI,menor_cluster,tamanhos,grupos_variaveis
E0,2,1,256513.7482436999,100.0,100,0.29609380499143023,0.06855290211864161,1018,1018 / 3583,57
E0,2,2,244486.69834951469,7.000000000000001,100,0.6596309439335903,-0.00494969888751088,34,34 / 4567,11 / 46
E0,3,1,254414.0128791627,100.0,100,0.25146823998278783,0.0784415275629891,32,32 / 1187 / 3382,57
E0,3,2,239373.65768175773,1.0,100,0.24537947506560984,0.19836737946485616,34,34 / 1097 / 3470,11 / 46
E0,3,3,234585.86636710563,20.0,100,0.1409212922202987,0.3854114847029058,34,34 / 1194 / 3373,11 / 22 / 24
E0,4,1,253278.67951747525,100.0,100,0.048425779609128035,0.09157673960534513,22,22 / 697 / 1640 / 2242,57
E0,4,2,233358.7022137824,25.0,99,0.24279690177261976,0.14930979826684454,24,24 / 253 / 1049 / 3275,12 / 45
E0,4,3,228516.44366872052,22.0,100,0.16196116945853542,0.274405485178691,24,24 / 241 / 1080 / 3256,11 / 22 / 24
E0,4,4,227261.65090134562,1.0,100,0.15762401967536946,0.2450719122558436,29,29 / 400 / 1074 / 3098,5 / 9 / 18 / 25
E1,2,1,2219683137.0186467,100.0,100,0.8443928955868427,0.0421803748538226,238,238 / 4363,57
E1,2,2,986073590.1336627,100.0,100,0.841852597876499,0.04114946717281619,273,273 / 4328,1 / 56
E1,3,1,2213467423.393072,100.0,100,0.782814183202131,0.07727466531293078,77,77 / 423 / 4101,57
E1,3,2,665348979.0757254,100.0,100,0.7922787698094584,0.06870946106412264,56,56 / 448 / 4097,1 / 56
E1,3,3,630381885.1681557,100.0,100,0.7832925308874846,0.07293509119869876,72,72 / 469 / 4060,1 / 1 / 55
E1,4,1,2205522612.9622035,100.0,100,0.7312548605669379,0.09884126881279641,5,5 / 179 / 622 / 3795,57
E1,4,2,570371127.8690403,100.0,100,0.7167264935461295,0.10002691665060735,52,52 / 225 / 659 / 3665,1 / 56
E1,4,3,525070513.44402117,100.0,100,0.7257341095066809,0.0976468590341398,52,52 / 193 / 652 / 3704,1 / 1 / 55
E1,4,4,524666467.71932364,100.0,100,0.7257341095066809,0.0976468590341398,52,52 / 193 / 652 / 3704,1 / 1 / 1 / 54
E2,2,1,893.1597509056107,100.0,100,0.2230422963270211,0.09479470464561902,1139,1139 / 3462,57
E2,2,2,812.8815696456606,100.0,100,0.09833461249570156,0.18861894177465216,1834,1834 / 2767,4 / 53
E2,3,1,886.3477379406362,100.0,100,0.17883875920104386,0.11968203839787717,32,32 / 1431 / 3138,57
E2,3,2,800.4245061958088,28.000000000000004,100,0.09847859315865186,0.1460038257238035,356,356 / 1705 / 2540,4 / 53
E2,3,3,747.963644576138,22.0,100,0.11002298076518836,0.2042425040154473,30,30 / 1807 / 2764,4 / 8 / 45
E2,4,1,882.6623208872091,100.0,100,0.0547210289145377,0.08497399439801125,20,20 / 743 / 1774 / 2064,57
E2,4,2,790.6275695244819,90.0,100,0.048571730885373754,0.1285389722662237,79,79 / 635 / 1768 / 2119,4 / 53
E2,4,3,729.1221695377391,3.0,100,0.11209627654742096,0.15182526442787217,26,26 / 288 / 1762 / 2525,4 / 10 / 43
E2,4,4,703.2867241364438,2.0,100,0.1335019044241307,0.17650043437883248,30,30 / 124 / 1771 / 2676,1 / 4 / 8 / 44
E3,2,1,91068.3097709367,100.0,100,0.19044962405115576,0.14226895258756703,1140,1140 / 3461,57
E3,2,2,87179.31441560185,100.0,100,0.14059019066603926,0.4608639003016415,1245,1245 / 3356,24 / 33
E3,3,1,90143.85683843309,100.0,100,0.05077350445970592,0.10707256208575211,622,622 / 1844 / 2135,57
