,grupo_variavel
word_freq_make,0
word_freq_address,0
word_freq_all,0
word_freq_3d,0
word_freq_our,0
word_freq_over,0
word_freq_remove,0
word_freq_internet,0
word_freq_order,0
word_freq_mail,0
word_freq_receive,0
word_freq_will,0
word_freq_people,0
word_freq_report,0
word_freq_addresses,0
word_freq_free,0
word_freq_business,0
word_freq_email,0
word_freq_you,0
word_freq_credit,0
word_freq_your,0
word_freq_font,0
word_freq_000,0
word_freq_money,0
word_freq_hp,1
word_freq_hpl,1
word_freq_george,0
word_freq_650,1
word_freq_lab,1
word_freq_labs,1
word_freq_telnet,1
word_freq_857,1
word_freq_data,0
word_freq_415,1
word_freq_85,1
word_freq_technology,1
word_freq_1999,0
word_freq_parts,0
word_freq_pm,0
word_freq_direct,1
word_freq_cs,0
word_freq_meeting,0
word_freq_original,0
word_freq_project,0
word_freq_re,0
word_freq_edu,0
word_freq_table,0
word_freq_conference,0
char_freq_;,0
char_freq_(,0
char_freq_[,0
char_freq_!,0
char_freq_$,0
char_freq_#,0
capital_run_length_average,0
capital_run_length_longest,0
capital_run_length_total,0
